time_utc,equity_usd,available_usd,unrealized_pnl_usd,open_positions,gross_exposure_usd,net_exposure_usd,drawdown_pct
2026-06-19T10:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T11:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T11:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T11:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T11:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T12:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T12:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T12:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T12:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T13:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T13:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T13:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T13:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T14:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T14:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T14:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T14:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T15:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T15:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T15:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T15:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T16:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T16:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T16:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T16:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T17:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T17:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T17:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T17:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T18:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T18:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T18:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T18:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T19:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T19:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T19:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T19:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T20:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T20:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T20:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T20:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T21:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T21:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T21:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T21:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T22:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T22:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T22:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T22:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T23:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T23:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T23:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-19T23:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T00:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T00:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T00:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T00:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T01:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T01:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T01:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T01:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T02:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T02:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T02:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T02:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T03:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T03:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T03:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T03:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T04:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T04:29:59.0000000Z,10000,10000,0,0,0,0,0
